seriesdesc,seriestime,afd,rows,fov,voxelsize,contourname,suvmax,suvmin,suvmean,stdev,suvpeak,volume
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 01-01,1.1793115,0.865938,1.0082004,0.0627596,,2.7910171
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 01-02,1.1437874,0.74332,0.9608376,0.0747094,,2.7910171
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 01-03,1.2360307,0.7824264,0.9986433,0.0765908,,2.7652221
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 01-04,1.1990886,0.8222792,0.992909,0.087656,,2.7880075
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 01-05,1.1867,0.7707094,0.9784837,0.0761633,,2.7639322
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 02-01,1.1477429,0.7936956,0.9485526,0.066319,,2.7643621
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 02-02,1.1376677,0.8339961,0.9948788,0.0665321,,2.8021948
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 02-03,1.2221494,0.7770529,0.9601289,0.0739536,,2.7776895
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 02-04,1.0837846,0.783322,0.9687368,0.063632,,2.8073537
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 02-05,1.2774507,0.7407826,0.9804399,0.0920746,,2.7996154
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 03-01,1.141847,0.8401905,0.9662358,0.0549641,,2.7377074
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 03-02,1.1028899,0.8078754,0.9590831,0.0524724,,2.8082137
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 03-03,1.0992329,0.7480963,0.9534479,0.0695808,,2.7970357
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 03-04,1.2678233,0.8310855,0.9661528,0.0789256,,2.8030546
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 03-05,1.159833,0.6544351,0.9043894,0.0867178,,2.8125129
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 04-01,1.1461756,0.7711572,0.9611772,0.0741668,,2.7686613
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 04-02,1.1228162,0.8201149,0.9570568,0.0599284,,2.8142323
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 04-03,1.1674453,0.8178759,1.0056067,0.0631621,,2.7845683
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 04-04,1.3217812,0.7886954,0.9909764,0.1055384,,2.8129427
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 04-05,1.1911031,0.7454097,0.9665056,0.0866411,,2.7970357
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 05-01,1.1134874,0.8167564,0.9487952,0.0694313,,2.7475953
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 05-02,1.1470711,0.8638483,0.9787228,0.0534568,,2.7927365
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 05-03,1.1951332,0.8496685,0.9824392,0.0589643,,2.7927365
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 05-04,1.1485637,0.726976,0.9188745,0.0727897,,2.8026247
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 05-05,1.3217812,0.7875759,0.9849412,0.0959592,,2.8073537
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 06-01,1.1947601,0.8609378,0.994747,0.0556233,,2.887748
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 06-02,1.1300554,0.8124278,0.9777029,0.0546308,,2.816812
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 06-03,1.1811773,0.7616045,0.9604295,0.0787828,,2.7665117
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 06-04,1.1349064,0.7851878,0.9730555,0.0631464,,2.800905
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 06-05,1.1847596,0.7561565,0.9741974,0.1002874,,2.7832785
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 07-01,1.2791672,0.8413098,1.0171974,0.0914881,,2.7978957
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 07-02,1.1693857,0.7962331,0.9584926,0.0687478,,2.8095033
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 07-03,1.1867745,0.8547434,0.9735399,0.0559349,,2.7506049
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 07-04,1.1130396,0.7327971,0.9441189,0.0770097,,2.8120828
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 07-05,1.1169205,0.7989944,0.9450702,0.0564647,,2.7643621
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 08-01,1.1231893,0.8821328,0.9925317,0.0545802,,2.796176
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 08-02,1.1016958,0.7730975,0.943958,0.0735974,,2.806494
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 08-03,1.2337918,0.7679481,0.9717584,0.0873978,,2.7540441
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 08-04,1.194387,0.657271,0.9583077,0.0924184,,2.8013349
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 08-05,1.3014071,0.765336,0.9590665,0.1059356,,2.7604928
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 09-01,1.180207,0.8275032,0.9586177,0.0600328,,2.7996154
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 09-02,1.1193086,0.8745204,0.9678699,0.0427649,,2.77597
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 09-03,1.0837098,0.790785,0.9583833,0.0526586,,2.7312586
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 09-04,1.1829685,0.8392949,0.9985179,0.0737338,,2.7940264
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 09-05,1.2033426,0.7989197,0.9656193,0.0832746,,2.7480254
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 10-01,1.1233387,0.8357126,0.9612007,0.0518339,,2.8095033
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 10-02,1.1627436,0.8544449,1.0057716,0.0673192,,2.7996154
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 10-03,1.2452849,0.8455639,1.0036587,0.0708745,,2.7312586
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 10-04,1.2005067,0.8269809,1.0204662,0.0674186,,2.77511
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Bkg - 10-05,1.3488722,0.784516,0.9624373,0.1061928,,2.7652221
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Ins - 01 - Spheres,0.1731428,0.0404498,0.0757811,0.0176685,,23.3874493
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Ins - 02 - Background,0.1833673,0.028882,0.0700834,0.0248635,,21.8255634
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Sph - 01 - 37mm,4.6012702,1.1052034,3.4243147,0.7210906,4.1872859,26.6337471
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Sph - 02 - 28mm,4.8909111,1.2687935,3.290616,0.7857387,4.2359395,11.6034422
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Sph - 03 - 22mm,4.5908217,1.4374586,3.062629,0.7301984,4.0359325,5.5029292
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Sph - 04 - 17mm,4.2240872,1.2225972,2.6394413,0.7273011,3.3126118,2.6001341
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Sph - 05 - 13mm,3.6469698,1.3829036,2.394722,0.562741,2.458498,1.2084949
90s FDG Qclear,49516000,90000,384,699.9999847,1.8229166,Sph - 06 - 10mm,2.5640063,1.0293788,1.7466137,0.3661835,1.5138409,0.5227783
90s FDG AC,49516000,90000,384,699.9999847,1.8229166,Bkg - 01-01,1.1430376,0.8675199,0.9982547,0.0577426,,2.7910171
90s FDG AC,49516000,90000,384,699.9999847,1.8229166,Bkg - 01-02,1.1098244,0.786546,0.9576565,0.0606589,,2.7910171
90s FDG AC,49516000,90000,384,699.9999847,1.8229166,Bkg - 01-03,1.1935433,0.8487176,0.9962469,0.0645518,,2.7652221
90s FDG AC,49516000,90000,384,699.9999847,1.8229166,Bkg - 01-04,1.1059129,0.8406888,0.9753007,0.0605564,,2.7880075
90s FDG AC,49516000,90000,384,699.9999847,1.8229166,Bkg - 01-05,1.1218333,0.8201022,0.9724152,0.0605896,,2.7639322
90s FDG AC,49516000,90000,384,699.9999847,1.8229166,Bkg - 02-01,1.1452334,0.8351991,0.9619802,0.0544355,,2.7643621
90s FDG AC,49516000,90000,384,699.9999847,1.8229166,Bkg - 02-02,1.123343,0.8518056,0.9995477,0.0551555,,2.8021948
90s FDG AC,49516000,90000,384,699.9999847,1.8229166,Bkg - 02-03,1.1660259,0.8275819,0.9548043,0.0626197,,2.7776895
90s FDG AC,49516000,90000,384,699.9999847,1.8229166,Bkg - 02-04,1.0891693,0.8432964,0.9765058,0.0458436,,2.8073537
90s FDG AC,49516000,90000,384,699.9999847,1.8229166,Bkg - 02-05,1.1997193,0.7892222,0.9908027,0.0731089,,2.7996154
90s FDG AC,49516000,90000,384,699.9999847,1.8229166,Bkg - 03-01,1.1087265,0.8592167,0.9647648,0.0506868,,2.7377074
90s FDG AC,49516000,90000,384,699.9999847,1.8229166,Bkg - 03-02,1.0745527,0.8355421,0.964716,0.0396249,,2.8082137
90s FDG AC,49516000,90000,384,699.9999847,1.8229166,Bkg - 03-03,1.079219,0.8319052,0.967308,0.0509598,,2.7970357
90s FDG AC,49516000,90000,384,699.9999847,1.8229166,Bkg - 03-04,1.1629379,0.8380812,0.9568522,0.0627406,,2.8030546
90s FDG AC,49516000,90000,384,699.9999847,1.8229166,Bkg - 03-05,1.1014526,0.7197081,0.9146351,0.0652781,,2.8125129
90s FDG AC,49516000,90000,384,699.9999847,1.8229166,Bkg - 04-01,1.1095499,0.8153673,0.9629878,0.0607469,,2.7686613
90s FDG AC,49516000,90000,384,699.9999847,1.8229166,Bkg - 04-02,1.0874536,0.8367087,0.9571586,0.0515056,,2.8142323
90s FDG AC,49516000,90000,384,699.9999847,1.8229166,Bkg - 04-03,1.1243724,0.8425416,0.9955521,0.0500746,,2.7845683
90s FDG AC,49516000,90000,384,699.9999847,1.8229166,Bkg - 04-04,1.1988273,0.8259349,0.9666454,0.0769272,,2.8129427
90s FDG AC,49516000,90000,384,699.9999847,1.8229166,Bkg - 04-05,1.1389887,0.78236,0.9575022,0.0646434,,2.7970357
90s FDG AC,49516000,90000,384,699.9999847,1.8229166,Bkg - 05-01,1.1063933,0.868961,0.9576716,0.0517783,,2.7475953
90s FDG AC,49516000,90000,384,699.9999847,1.8229166,Bkg - 05-02,1.1190197,0.8835089,0.982465,0.0445824,,2.7927365
90s FDG AC,49516000,90000,384,699.9999847,1.8229166,Bkg - 05-03,1.1668494,0.8704022,0.9845802,0.0516057,,2.7927365
90s FDG AC,49516000,90000,384,699.9999847,1.8229166,Bkg - 05-04,1.0941099,0.7829777,0.9289749,0.0493984,,2.8026247
90s FDG AC,49516000,90000,384,699.9999847,1.8229166,Bkg - 05-05,1.219208,0.8414436,1.003752,0.0668662,,2.8073537
90s FDG AC,49516000,90000,384,699.9999847,1.8229166,Bkg - 06-01,1.1713098,0.8361598,0.9945377,0.0533729,,2.887748
90s FDG AC,49516000,90000,384,699.9999847,1.8229166,Bkg - 06-02,1.1621144,0.8353362,0.9853955,0.0521772,,2.816812
90s FDG AC,49516000,90000,384,699.9999847,1.8229166,Bkg - 06-03,1.1317835,0.8058287,0.9596881,0.0713024,,2.7665117
