"seriesdesc","seriestime","afd","rows","fov","voxelsize","contourname","suvmax","suvmin","suvmean","stdev","suvpeak","volume"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 01-01","1.1287326","0.7873421","0.9448407","0.0670156","","1.937749"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 01-02","1.1459969","0.8185991","0.9982486","0.0671957","","1.954497"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 01-03","1.2149851","0.8069038","0.9948875","0.0841722","","3.6795459"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 01-04","1.235243","0.7173098","0.9508807","0.0967531","","3.8018067"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 01-05","1.4523016","0.8369774","1.0200098","0.1321657","","1.8573583"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 02-01","1.1899239","0.814631","0.9853941","0.0793355","","1.9101148"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 02-02","1.2963648","0.7905443","1.0001013","0.0810504","","1.9561719"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 02-03","1.1810132","0.7604012","0.9533584","0.0855098","","3.6577733"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 02-04","1.2623928","0.6760283","0.9638817","0.1067634","","3.8445141"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 02-05","1.3152999","0.7832348","0.9965409","0.1267817","","1.8632202"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 03-01","1.1361117","0.7864371","0.971513","0.0882378","","1.8824804"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 03-02","1.1167588","0.7863675","0.9446176","0.0758836","","1.9553344"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 03-03","1.1565088","0.825839","0.9863565","0.0636563","","3.640188"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 03-04","1.2432487","0.7588698","0.9619682","0.0865605","","3.8269286"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 03-05","1.2599562","0.7314416","0.9642987","0.116493","","1.8581958"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 04-01","1.2144282","0.7983413","0.9196712","0.0835311","","1.9226757"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 04-02","1.1957018","0.7166832","0.9551923","0.1059389","","1.9561719"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 04-03","1.1892277","0.7695207","0.9411023","0.0696025","","3.7390015"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 04-04","1.4481248","0.7233661","0.9909045","0.1420441","","3.8185546"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 04-05","1.2483306","0.7148731","0.9437425","0.1014357","","1.9260254"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 05-01","1.1092404","0.7675019","0.8964384","0.0728559","","1.9243505"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 05-02","1.1530976","0.8037712","0.9518819","0.0730789","","1.9410986"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 05-03","1.122328","0.7410484","0.9388665","0.0746121","","3.7557495"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 05-04","1.2055871","0.7769695","0.9533486","0.0883327","","3.8018067"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 05-05","1.1459969","0.7239231","0.9418999","0.0947356","","1.9444482"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 06-01","1.1455096","0.7661792","0.9731337","0.093153","","2.0039039"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 06-02","1.0371892","0.7837918","0.9181859","0.055042","","1.8674072"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 06-03","1.186304","0.7506551","0.9416458","0.0926309","","3.7666357"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 06-04","1.2974089","0.7164743","0.9938459","0.1081572","","3.7381639"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 06-05","1.2429006","0.6450498","0.9731677","0.1246881","","1.9570092"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 07-01","1.157553","0.817346","0.9802704","0.077117","","1.869082"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 07-02","1.1865823","0.8444262","1.0017545","0.0806272","","1.8665698"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 07-03","1.1527497","0.8014043","0.9363783","0.0603364","","3.6929443"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 07-04","1.2219466","0.7251066","0.9650052","0.099788","","3.6510742"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 07-05","1.2754803","0.7088864","0.9411749","0.1372731","","1.916814"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 08-01","1.0864068","0.8027966","0.9459155","0.0694814","","1.9126269"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 08-02","1.123233","0.7559459","0.9194088","0.0877724","","1.864895"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 08-03","1.2170736","0.6587637","0.9985215","0.0903187","","3.7406762"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 08-04","1.3320074","0.7411875","0.9838005","0.1097341","","3.6577733"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 08-05","1.2232693","0.69378","0.9454979","0.1072142","","1.9343994"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 09-01","1.2288384","0.7852536","0.9832607","0.1130395","","1.8916918"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 09-02","1.1695963","0.7567813","0.9827073","0.0722764","","1.869082"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 09-03","1.1280364","0.8124034","0.9715899","0.0698719","","3.6678221"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 09-04","1.1890885","0.7908228","0.9632433","0.0830336","","3.6477246"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 09-05","1.2875236","0.7833045","1.0056511","0.1175103","","1.9042529"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 10-01","1.2166559","0.7731407","0.9810298","0.082629","","1.9343994"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 10-02","1.2817456","0.7426494","0.9661576","0.1095331","","1.8573583"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 10-03","1.2016888","0.8059292","0.9624488","0.088527","","3.7306273"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 10-04","1.2804925","0.6971214","0.9826536","0.11941","","3.698806"
"150s TOF AC","50501000","150000","256","700","2.734375","Bkg - 10-05","1.1732162","0.736941","0.9631038","0.095149","","1.9226757"
"150s TOF AC","50501000","150000","256","700","2.734375","Ins - 01 - Spheres","0.2327915","0.03613","0.0866011","0.027601","","25.7517967"
"150s TOF AC","50501000","150000","256","700","2.734375","Ins - 02 - Background","0.2520051","0.0346681","0.0740668","0.0247579","","19.8087521"
"150s TOF AC","50501000","150000","256","700","2.734375","Sph - 01 - 37mm","4.5621986","1.1478765","3.3548186","0.6904755","4.0631614","26.4208813"
"150s TOF AC","50501000","150000","256","700","2.734375","Sph - 02 - 28mm","4.3337927","1.2241046","3.1766057","0.7176492","3.9618356","11.3970461"
"150s TOF AC","50501000","150000","256","700","2.734375","Sph - 03 - 22mm","4.2233839","1.249166","3.0289977","0.7162356","3.8189034","5.0847068"
"150s TOF AC","50501000","150000","256","700","2.734375","Sph - 04 - 17mm","4.0252604","1.1440477","2.5881722","0.7225869","3.1793034","2.5071826"
"150s TOF AC","50501000","150000","256","700","2.734375","Sph - 05 - 13mm","3.8501794","1.153933","2.3687894","0.630733","2.4199159","1.1715258"
