reader 1,reader 2,reader 3,reader 4,reader 5
45,8,27,5,59
60,27,40,27,56
30,7,3,28,11
23,2,41,55,58
33,40,51,43,38
29,17,42,26,17
,,,,
,,,,
54,9,6,3,21
5,15,58,9,37
20,20,46,8,39
59,38,22,10,13
3,25,14,35,53
47,58,11,13,26
,,,,
,,,,
10,14,8,47,4
42,4,20,1,24
48,43,10,23,42
8,47,50,59,34
16,21,2,48,5
24,24,23,50,9
,,,,
,,,,
7,5,4,41,18
25,1,60,33,28
13,33,56,52,30
4,42,26,24,2
6,23,39,19,47
52,13,57,6,23
,,,,
,,,,
49,10,52,20,33
50,35,53,49,1
9,57,37,15,43
53,30,59,11,36
36,36,13,17,51
41,6,25,57,57
,,,,
,,,,
1,22,32,60,52
58,32,19,7,60
46,54,5,16,15
57,55,28,58,40
37,53,18,25,7
27,48,30,46,12
,,,,
,,,,
12,46,1,4,31
2,52,48,12,27
38,18,31,37,32
43,31,16,29,10
11,34,34,51,25
31,49,33,45,49
,,,,
,,,,
26,39,45,21,55
17,45,43,30,50
19,16,38,14,16
55,11,54,56,46
40,3,15,22,6
51,37,17,40,41
,,,,
,,,,
14,19,12,36,48
39,44,44,18,44
35,50,47,54,29
22,56,24,39,54
56,41,36,32,22
34,59,9,2,8
,,,,
,,,,
21,51,49,42,3
18,12,29,53,14
32,26,55,34,35
28,28,7,44,45
44,29,21,38,20
15,60,35,31,19
